CLASS (class) -> línea 73
COMMA (,) -> línea 98
DOUBLE (6.8) -> línea 98
RBRACKET (]) -> línea 98
RPAREN ()) -> línea 98
COMMA (,) -> línea 98
ID (Estudiante) -> línea 99
LPAREN (() -> línea 99
STRING (María) -> línea 99
COMMA (,) -> línea 99
LBRACKET ([) -> línea 99
DOUBLE (10.0) -> línea 99
COMMA (,) -> línea 99
DOUBLE (9.8) -> línea 99
COMMA (,) -> línea 99
DOUBLE (9.5) -> línea 99
RBRACKET (]) -> línea 99
RPAREN ()) -> línea 99
COMMA (,) -> línea 99
ID (Estudiante) -> línea 100
LPAREN (() -> línea 100
STRING (Carlos) -> línea 100
COMMA (,) -> línea 100
LBRACKET ([) -> línea 100
DOUBLE (5.0) -> línea 100
COMMA (,) -> línea 100
DOUBLE (4.5) -> línea 100
COMMA (,) -> línea 100
DOUBLE (6.0) -> línea 100
RBRACKET (]) -> línea 100
RPAREN ()) -> línea 100
COMMA (,) -> línea 100
RBRACKET (]) -> línea 101
SEMICOLON (;) -> línea 101
PRINT (print) -> línea 103
LPAREN (() -> línea 103
STRING (=== Reporte Académico ===\n) -> línea 103
RPAREN ()) -> línea 103
SEMICOLON (;) -> línea 103
FOR (for) -> línea 104
LPAREN (() -> línea 104
VAR (var) -> línea 104
ID (estudiante) -> línea 104
IN (in) -> línea 104
ID (estudiantes) -> línea 104
RPAREN ()) -> línea 104
LBRACE ({) -> línea 104
PRINT (print) -> línea 105
LPAREN (() -> línea 105
STRING (Nombre: ${estudiante.nombre}) -> línea 105
RPAREN ()) -> línea 105
SEMICOLON (;) -> línea 105
PRINT (print) -> línea 106
LPAREN (() -> línea 106
STRING (Notas: ${estudiante.notas.join(', ')}) -> línea 106
RPAREN ()) -> línea 106
SEMICOLON (;) -> línea 106
PRINT (print) -> línea 107
LPAREN (() -> línea 107
STRING (Promedio: ${estudiante.promedio.toStringAsFixed(2)}) -> línea 107
RPAREN ()) -> línea 107
SEMICOLON (;) -> línea 107
PRINT (print) -> línea 108
LPAREN (() -> línea 108
STRING (Estado: ${estudiante.estado}) -> línea 108
RPAREN ()) -> línea 108
SEMICOLON (;) -> línea 108
PRINT (print) -> línea 109
LPAREN (() -> línea 109
STRING (Clasificación: ${estudiante.clasificacion()}) -> línea 109
RPAREN ()) -> línea 109
SEMICOLON (;) -> línea 109
PRINT (print) -> línea 110
LPAREN (() -> línea 110
STRING (-----------------------------) -> línea 110
RPAREN ()) -> línea 110
SEMICOLON (;) -> línea 110
RBRACE (}) -> línea 111
STRING (String) -> línea 114
ID (nombreBuscado) -> línea 114
ASSIGN (=) -> línea 114
STRING (Luis) -> línea 114
SEMICOLON (;) -> línea 114
ID (Estudiante) -> línea 115
QUESTION (?) -> línea 115
ID (buscado) -> línea 115
ASSIGN (=) -> línea 115
ID (buscarEstudiante) -> línea 115
LPAREN (() -> línea 115
ID (estudiantes) -> línea 115
COMMA (,) -> línea 115
ID (nombreBuscado) -> línea 115
RPAREN ()) -> línea 115
SEMICOLON (;) -> línea 115
IF (if) -> línea 117
LPAREN (() -> línea 117
ID (buscado) -> línea 117
NOT_EQUALS (!=) -> línea 117
ID (null) -> línea 117
RPAREN ()) -> línea 117
LBRACE ({) -> línea 117
PRINT (print) -> línea 118
LPAREN (() -> línea 118
STRING (\n Estudiante encontrado: ${buscado.nombre}) -> línea 118
RPAREN ()) -> línea 118
SEMICOLON (;) -> línea 118
PRINT (print) -> línea 119
LPAREN (() -> línea 119
STRING (Promedio: ${buscado.promedio}) -> línea 119
RPAREN ()) -> línea 119
SEMICOLON (;) -> línea 119
RBRACE (}) -> línea 120
ELSE (else) -> línea 120
LBRACE ({) -> línea 120
PRINT (print) -> línea 121
LPAREN (() -> línea 121
STRING (\n Estudiante '$nombreBuscado' no encontrado.) -> línea 121
RPAREN ()) -> línea 121
SEMICOLON (;) -> línea 121
RBRACE (}) -> línea 122
RBRACE (}) -> línea 123
ID (Estudiante) -> línea 125
QUESTION (?) -> línea 125
ID (buscarEstudiante) -> línea 125
LPAREN (() -> línea 125
LIST (List) -> línea 125
LESS (<) -> línea 125
ID (Estudiante) -> línea 125
GREATER (>) -> línea 125
ID (lista) -> línea 125
COMMA (,) -> línea 125
STRING (String) -> línea 125
ID (nombre) -> línea 125
RPAREN ()) -> línea 125
LBRACE ({) -> línea 125
FOR (for) -> línea 126
LPAREN (() -> línea 126
VAR (var) -> línea 126
ID (est) -> línea 126
IN (in) -> línea 126
ID (lista) -> línea 126
RPAREN ()) -> línea 126
LBRACE ({) -> línea 126
IF (if) -> línea 127
LPAREN (() -> línea 127
ID (est) -> línea 127
DOT (.) -> línea 127
ID (nombre) -> línea 127
DOT (.) -> línea 127
ID (toLowerCase) -> línea 127
LPAREN (() -> línea 127
RPAREN ()) -> línea 127
EQUALS (==) -> línea 127
ID (nombre) -> línea 127
DOT (.) -> línea 127
ID (toLowerCase) -> línea 127
LPAREN (() -> línea 127
RPAREN ()) -> línea 127
RPAREN ()) -> línea 127
LBRACE ({) -> línea 127
RETURN (return) -> línea 128
ID (est) -> línea 128
SEMICOLON (;) -> línea 128
RBRACE (}) -> línea 129
RBRACE (}) -> línea 130
RETURN (return) -> línea 131
ID (null) -> línea 131
SEMICOLON (;) -> línea 131
RBRACE (}) -> línea 132
