CLASS (class) -> línea 194
GREATER (>) -> línea 223
ID (max) -> línea 223
RPAREN ()) -> línea 223
ID (max) -> línea 223
ASSIGN (=) -> línea 223
ID (val) -> línea 223
SEMICOLON (;) -> línea 223
RBRACE (}) -> línea 224
ID (resumen) -> línea 225
LBRACKET ([) -> línea 225
STRING (min) -> línea 225
RBRACKET (]) -> línea 225
ASSIGN (=) -> línea 225
ID (min) -> línea 225
SEMICOLON (;) -> línea 225
ID (resumen) -> línea 226
LBRACKET ([) -> línea 226
STRING (max) -> línea 226
RBRACKET (]) -> línea 226
ASSIGN (=) -> línea 226
ID (max) -> línea 226
SEMICOLON (;) -> línea 226
ID (resumen) -> línea 227
LBRACKET ([) -> línea 227
STRING (promedio) -> línea 227
RBRACKET (]) -> línea 227
ASSIGN (=) -> línea 227
ID (suma) -> línea 227
DIVIDE (/) -> línea 227
ID (datos) -> línea 227
DOT (.) -> línea 227
LENGTH (length) -> línea 227
SEMICOLON (;) -> línea 227
RBRACE (}) -> línea 228
VOID (void) -> línea 230
ID (mostrarResumen) -> línea 230
LPAREN (() -> línea 230
RPAREN ()) -> línea 230
LBRACE ({) -> línea 230
PRINT (print) -> línea 231
LPAREN (() -> línea 231
STRING (Resumen:) -> línea 231
RPAREN ()) -> línea 231
SEMICOLON (;) -> línea 231
PRINT (print) -> línea 232
LPAREN (() -> línea 232
STRING (Min: ${resumen[) -> línea 232
ID (min) -> línea 232
STRING (]}, Max: ${resumen[) -> línea 232
ID (max) -> línea 232
STRING (]}, Promedio: ${resumen[) -> línea 232
ID (promedio) -> línea 232
STRING (]}) -> línea 232
RPAREN ()) -> línea 232
SEMICOLON (;) -> línea 232
PRINT (print) -> línea 233
LPAREN (() -> línea 233
STRING (Elemento buscado existe: ${resumen[) -> línea 233
ID (existe) -> línea 233
STRING (]}) -> línea 233
RPAREN ()) -> línea 233
SEMICOLON (;) -> línea 233
RBRACE (}) -> línea 234
RBRACE (}) -> línea 235
VOID (void) -> línea 237
ID (main) -> línea 237
LPAREN (() -> línea 237
RPAREN ()) -> línea 237
LBRACE ({) -> línea 237
LIST (List) -> línea 238
LESS (<) -> línea 238
INT (int) -> línea 238
GREATER (>) -> línea 238
ID (lista) -> línea 238
ASSIGN (=) -> línea 238
LBRACKET ([) -> línea 238
INT (3) -> línea 238
COMMA (,) -> línea 238
INT (6) -> línea 238
COMMA (,) -> línea 238
INT (8) -> línea 238
COMMA (,) -> línea 238
INT (12) -> línea 238
COMMA (,) -> línea 238
INT (15) -> línea 238
COMMA (,) -> línea 238
INT (20) -> línea 238
RBRACKET (]) -> línea 238
SEMICOLON (;) -> línea 238
INT (int) -> línea 239
ID (objetivo) -> línea 239
ASSIGN (=) -> línea 239
INT (12) -> línea 239
SEMICOLON (;) -> línea 239
VAR (var) -> línea 240
ID (analizador) -> línea 240
ASSIGN (=) -> línea 240
ID (Analizador) -> línea 240
LPAREN (() -> línea 240
ID (lista) -> línea 240
RPAREN ()) -> línea 240
SEMICOLON (;) -> línea 240
INT (int) -> línea 241
ID (pos) -> línea 241
ASSIGN (=) -> línea 241
ID (analizador) -> línea 241
DOT (.) -> línea 241
ID (busquedaBinaria) -> línea 241
LPAREN (() -> línea 241
ID (objetivo) -> línea 241
RPAREN ()) -> línea 241
SEMICOLON (;) -> línea 241
ID (analizador) -> línea 242
DOT (.) -> línea 242
ID (calcularResumen) -> línea 242
LPAREN (() -> línea 242
RPAREN ()) -> línea 242
SEMICOLON (;) -> línea 242
IF (if) -> línea 243
LPAREN (() -> línea 243
ID (pos) -> línea 243
NOT_EQUALS (!=) -> línea 243
MINUS (-) -> línea 243
INT (1) -> línea 243
RPAREN ()) -> línea 243
LBRACE ({) -> línea 243
PRINT (print) -> línea 244
LPAREN (() -> línea 244
STRING (Elemento encontrado en posición $pos) -> línea 244
RPAREN ()) -> línea 244
SEMICOLON (;) -> línea 244
RBRACE (}) -> línea 245
ELSE (else) -> línea 245
LBRACE ({) -> línea 245
PRINT (print) -> línea 246
LPAREN (() -> línea 246
STRING (Elemento no encontrado) -> línea 246
RPAREN ()) -> línea 246
SEMICOLON (;) -> línea 246
RBRACE (}) -> línea 247
ID (analizador) -> línea 248
DOT (.) -> línea 248
ID (mostrarResumen) -> línea 248
LPAREN (() -> línea 248
RPAREN ()) -> línea 248
SEMICOLON (;) -> línea 248
VAR (var) -> línea 249
ID (entrada) -> línea 249
ASSIGN (=) -> línea 249
DOUBLE (2.34) -> línea 249
SEMICOLON (;) -> línea 249
RBRACE (}) -> línea 250
