VOID (void) -> línea 1
NOT_EQUALS (!=) -> línea 29
ID (procesado) -> línea 29
LBRACKET ([) -> línea 29
ID (derecha) -> línea 29
RBRACKET (]) -> línea 29
RPAREN ()) -> línea 29
LBRACE ({) -> línea 29
RETURN (return) -> línea 30
FALSE (false) -> línea 30
SEMICOLON (;) -> línea 30
RBRACE (}) -> línea 31
ID (izquierda) -> línea 32
INCREMENT (++) -> línea 32
SEMICOLON (;) -> línea 32
ID (derecha) -> línea 33
DECREMENT (--) -> línea 33
SEMICOLON (;) -> línea 33
RBRACE (}) -> línea 34
RETURN (return) -> línea 35
TRUE (true) -> línea 35
SEMICOLON (;) -> línea 35
RBRACE (}) -> línea 36
